type,name
journal,International Journal of Thermodynamics (predatory version)
journal,International Journal of Heat and Mass Transfer (predatory clone)
journal,Open Journal of Forestry (Scientific Research Publishing)
journal,Open Journal of Geology (Scientific Research Publishing)
journal,Pharmacology Online
journal,Archives of Applied Science Research
journal,International Journal of Chemistry and Applications
journal,Research Journal of Pharmaceutical Sciences
journal,International Journal of Pharmacy and Pharmaceutical Sciences
journal,International Research Journal of Pharmacy
journal,World Journal of Medical Sciences
journal,Journal of Medicinal Plants Research
journal,Annals of Biological Research
journal,African Journal of Biotechnology
journal,Advances in Life Science and Technology
journal,International Journal of Medicine and Medical Sciences
journal,American Journal of Biochemistry and Biotechnology
journal,Journal of Biomedical Science and Engineering (SCIRP)
journal,International Journal of Engineering and Manufacturing
journal,American Journal of Materials Science (SCIRP)
journal,Journal of Agricultural and Biological Science
journal,International Journal of Agronomy and Agricultural Research
journal,World Applied Sciences Journal
journal,Pakistan Journal of Nutrition (fake)
journal,Asian Journal of Agricultural Sciences
journal,International Journal of Natural and Engineering Sciences
journal,Journal of Animal and Veterinary Advances (Medwell)
publisher,Medwell Academic
publisher,Academic World Research
publisher,The Open University Press (fake)
